name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
Métro de la Concorde (Léo-Lacombe),45.5604898518365,-73.7091851234436,True,5,1,1,19
Calixa-Lavallée / Rachel,45.527831544563064,-73.5719096660614,True,0,1,1,30
Parc du Mail (Bois de Coulonges / du Mail),45.59833498124187,-73.54596734046936,True,12,1,1,15
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,True,3,1,1,26
HEC (Decelles / Jean-Brillant),45.497722829899764,-73.61925333738327,True,2,1,1,25
Fabrik8 (Waverly / Jean-Talon),45.53330725719417,-73.62082242965698,True,3,1,1,18
Parc Courbertin (Valéry / Perrier),45.5839877335556,-73.60809333622456,True,0,1,1,19
Parc Hébert (Colbert / Provencher),45.57237805962001,-73.59370462596415,True,2,1,1,15
Parc Garibaldi (Liénart / Bélanger),45.586476480180046,-73.570396900177,True,12,1,1,15
Parc Aimé-Léonard (Gouin / Ste-Gertrude),45.60835820969716,-73.63850623369217,True,12,1,1,17
Parc Charleroi (Alfred / Louis-Francoeur),45.59953472156509,-73.62360253930092,True,4,1,1,15
Parc Maurice-Bélanger (Hébert / Denommée),45.5877138098252,-73.63171823322773,True,4,1,1,15
Gare St-Michel / Montréal-Nord (Pie-IX / 56e),45.583197821913785,-73.62978704273701,True,8,1,1,15
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.51401222645779,-73.56598667800426,True,8,1,1,15
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,True,20,1,1,33
Léa-Roback / Sir-Georges-Etienne-Cartier,45.472051276471305,-73.5827162861824,True,5,1,1,34
Parc Eusèbe-Ménard (Gouin / St-Vital),45.59253950875074,-73.64874824881554,True,9,1,1,18
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,True,10,1,1,19
CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,True,9,1,1,18
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),45.50682415585665,-73.68184804916382,True,10,1,1,27
Gare Montpellier (Muir / de la Côte-Vertu),45.52374047147138,-73.67169924080372,True,9,1,1,15
Gare du Ruisseau (Dutrisac / Henri-Bourassa),45.52814371649508,-73.69254536926746,True,17,1,1,19
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),45.512843286755896,-73.67612421512604,True,3,1,1,18
CHSLD Robert Cliche (de Bellechasse / 16e avenue),45.557568,-73.579191,True,4,1,1,15
Parc Ottawa (de Belleville / Fleury),45.58116,-73.6412434,True,10,1,1,15
Parc Nicolas-Tillemont (des Érables / Villeray),45.55463653358596,-73.61255215771962,True,12,1,1,18
Métro Viau (Viau / Pierre-de-Coubertin),45.563084167155345,-73.5481941328544,True,29,1,1,55
Parc Armand-Bombardier (Perras / Armand-Bombardier),45.6391233,-73.5961118,True,9,1,1,15
Collège de Rosemont (Beaubien / 15e avenue),45.55774990838239,-73.58380123972893,True,0,1,1,26
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,True,2,1,1,46
de Bleury / de Maisonneuve,45.507096455662456,-73.56844156980515,True,16,1,1,21
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,True,29,1,1,37
Préfontaine / Marcel-Pépin,45.54365380040509,-73.55942063033581,True,2,1,1,19
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,True,23,1,1,35
Hochelaga / de l'Assomption,45.566883091095185,-73.53943817317486,True,6,1,1,23
Bassin olympique (Chemin du Chenal le Moyne),45.5169025120042,-73.52724552154541,True,5,1,1,19
Parc Wilfrid-Bastien (Lacordaire / des Galets),45.5864002,-73.5952181,True,7,1,1,19
de Chambly / de Rouen,45.54710313981358,-73.54892447590828,True,9,1,1,11
BAnQ (Berri),45.51601387670667,-73.56291957199574,True,11,1,1,15
Parc Ernest-Rouleau (Gouin),45.63131269772338,-73.61631497740746,True,14,1,1,19
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),45.49624140543275,-73.62983867526054,True,2,1,1,26
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),45.50398168549117,-73.62283945083618,True,0,1,1,37
Parc Honoré-Mercier (Notre-Dame / Liébert),45.59275253568305,-73.51035632193089,True,18,1,1,27
Keller / Cousineau,45.52355020292929,-73.7138856947422,True,5,1,1,15
Parc d'Antioche (Place d'Antioche / St-Zotique),45.59566584124368,-73.5596626996994,True,17,1,1,19
Gare Lachine (Sir George Simpson / 48e avenue),45.447821314280105,-73.71091783046722,True,0,1,1,15
de Gaspé / Marmier,45.529668174024685,-73.60166944563389,True,6,1,1,21
Grenet / Poirier,45.51871924623225,-73.69875401258469,True,2,1,1,15
IUSMM (Georges-Villeneuve),45.58661042838809,-73.52969169616699,True,14,1,1,27
Square Nelligan (des Appalaches / Alexis-Nihon),45.51431824920811,-73.70799824595451,True,5,1,1,15
Parc MacDonald (Clanranald / Isabella),45.48274245886277,-73.63497912883759,True,5,1,1,15
La Tour de Montréal (Pierre-de-Coubertin / Bennett),45.55970526805903,-73.55155438184738,True,0,1,1,25
St-Antoine / 19e avenue,45.43993803436114,-73.68146234754022,True,2,1,1,15
Messier / St-Joseph,45.53946063965585,-73.57605636119843,True,6,1,1,17
Square Viger (Berri / Viger),45.5121682576952,-73.55481594800949,True,14,1,1,30
Dorion / Ontario,45.526991277453526,-73.55821162462234,True,17,1,1,35
Larivière / de Lorimier,45.5291345371163,-73.55923354625702,True,18,1,1,39
Viger / Chenneville,45.50531166520915,-73.56089115142822,True,22,1,1,34
René-Lévesque / Papineau,45.52097057660443,-73.5499919950962,True,1,1,1,29
Logan / Fullum,45.52836601591233,-73.55117082595825,True,7,1,1,19
Joseph-Manseau / René-Lévesque,45.491686521008035,-73.57676714658737,True,10,1,1,19
Logan / d'Iberville,45.53061161207863,-73.54911457747221,True,12,1,1,19
du Havre / de Rouen,45.53456256501449,-73.55478646466509,True,15,1,1,27
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,True,16,1,1,19
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,True,23,1,1,49
St-Antoine / St-François-Xavier,45.50459069556304,-73.55918794870377,True,9,1,1,18
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072,True,26,1,1,29
Métro Laurier (Berri / Laurier),45.52809995527671,-73.58843871625139,True,1,1,1,23
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,True,20,1,1,23
de Rouen / Lespérance,45.538859462962286,-73.5528177022934,True,6,1,1,23
Calixa-Lavallée / Sherbrooke,45.52479,-73.56545,True,6,1,1,19
St-Hubert / Duluth,45.522425652788634,-73.57418417930603,True,18,1,1,23
de Bullion / du Mont-Royal,45.52141314643908,-73.58498811721802,True,0,1,1,19
de Lanaudière / Laurier,45.5333136054992,-73.58373686671257,True,0,1,1,23
Laval / Duluth,45.51922631024093,-73.57718793155072,True,14,1,1,23
